,bigram_cluster_0,bigram_freq_cluster_0,bigram_cluster_1,bigram_freq_cluster_1,bigram_cluster_2,bigram_freq_cluster_2
0,personal data,218,of the,575,of the,202
1,of the,162,the controller,572,the company,118
2,the data,122,the data,517,the data,101
3,data of,100,to the,293,to the,87
4,to the,87,the dpa,288,personal data,86
5,access to,70,data subject,287,in the,77
6,of personal,57,of eur,275,data protection,62
7,the personal,55,fine of,249,that the,59
8,data subject,54,a fine,241,did not,55
9,of a,44,that the,241,on the,54
10,data subjects,42,imposed a,231,with the,49
11,data protection,40,controller had,209,by the,44
12,in the,40,personal data,204,data subject,42
13,processing of,40,eur on,199,art gdpr,41
14,for the,39,in the,194,of a,40
15,technical and,39,with the,159,video surveillance,37
16,that the,38,data subjects,159,violation of,37
17,measures to,37,on the,152,to a,37
18,to ensure,36,has imposed,145,legal basis,34
19,a data,32,the spanish,143,data subjects,34
20,found that,31,spanish dpa,140,of data,33
21,the company,31,art gdpr,137,and the,32
22,on the,29,dpa aepd,134,data of,32
23,protection authority,29,due to,123,the fine,29
24,eur for,28,had not,109,protection authority,28
