,bigram_cluster_0,bigram_freq_cluster_0,bigram_cluster_1,bigram_freq_cluster_1,bigram_cluster_2,bigram_freq_cluster_2
0,data subject,54,data subject,287,data protection,62
1,data subjects,42,data subjects,159,data subject,42
2,data protection,40,art gdpr,137,art gdpr,41
3,protection authority,29,dpa aepd,134,video surveillance,37
4,data breach,20,video surveillance,63,data subjects,34
5,patient data,18,dpa garante,51,protection authority,28
6,information security,18,data protection,49,data processing,22
7,health data,15,data breach,38,public space,21
8,security measures,13,data processing,37,dpa datatilsynet,15
9,art gdpr,11,data minimization,33,surveillance cameras,13
10,data controller,10,security measures,25,surveillance system,13
11,risk analysis,8,surveillance system,23,data minimization,11
12,information system,8,vodafone españa,19,security measures,10
13,robinson tours,8,españa sau,17,telephone number,10
14,data processing,7,dpa anspdcp,16,phone number,9
15,dpa integritetsskyddsmyndigheten,7,health data,15,data minimisation,9
16,data authorizations,7,dpa datatilsynet,14,protection officer,9
17,hospital information,7,c gdpr,13,data breach,9
18,work purposes,7,phone number,12,health data,9
19,data security,6,privacy policy,12,privacy policy,9
20,dpa uodo,5,public space,12,information obligations,8
21,bank account,4,camera surveillance,12,data controller,8
22,f gdpr,4,voice integrate,12,bank account,7
23,patient records,4,data controller,11,cctv camera,7
24,card number,4,information obligations,11,service provider,6
