,bigram_cluster_0,bigram_freq_cluster_0,bigram_cluster_1,bigram_freq_cluster_1,bigram_cluster_2,bigram_freq_cluster_2
0,eur for,28,eur on,199,eur for,17
1,eur was,13,aepd has,80,gdpr the,16
2,gdpr the,9,gdpr the,71,gdpr and,15
3,robinson tours,8,eur for,58,eur the,14
4,eur on,5,eur due,50,eur million,8
5,gdpr and,5,gdpr and,46,eur was,7
6,eur and,4,eur the,42,eur on,6
7,euros on,3,aepd imposed,39,eur in,5
8,eur the,3,eur was,38,gdpr this,5
9,hora credit,3,vodafone españa,19,aepd found,4
10,eur million,3,españa sau,17,vodafone españa,4
11,anspdcp has,3,gdpr in,14,gdpr in,4
12,eur ca,2,aepd fined,13,vodafone had,3
13,eur were,2,gdpr as,10,gdpr art,3
14,eur eur,2,eur a,10,aepd imposed,3
15,vodafone españa,2,gdpr eur,9,aepd the,3
16,eur due,2,anspdcp has,9,gdpr according,3
17,dsi fined,2,eur against,8,gdpr for,2
18,gdpr when,1,gdpr art,8,euros for,2
19,gdpr article,1,aepd against,7,eur to,2
20,gdpr would,1,gdpr furthermore,6,marriott international,2
21,eur every,1,aepd considered,6,españa had,2
22,messaging app,1,nordic ab,6,vodafone could,2
23,eur see,1,aepd the,5,eur against,2
24,gdpr this,1,robinson list,5,gdpr as,2
